"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 11 09:35:42 GMT 2023","Sat Feb 11 09:35:48 GMT 2023","6294","E2E tests suite for klix online loans platform","Payment flow","com.klix.payments.frontend.payments.LeasePaymentTestFlow","com.klix.payments.frontend.payments.LeasePaymentTestFlow","paymentDetailsForOneMonthTest","paymentDetailsForOneMonthTest","Calculation details verification for 1 mont"
"passed","Sat Feb 11 09:35:48 GMT 2023","Sat Feb 11 09:35:48 GMT 2023","501","E2E tests suite for klix online loans platform","Payment flow","com.klix.payments.frontend.payments.LeasePaymentTestFlow","com.klix.payments.frontend.payments.LeasePaymentTestFlow","paymentDetailsForThreeMonthTest","paymentDetailsForThreeMonthTest","Calculation details verification for 3 months"
