"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 11 08:18:38 GMT 2023","Sat Feb 11 08:18:38 GMT 2023","570","E2E tests suite for klix online loans platform","Payment flow","com.klix.payments.frontend.payments.LeasePaymentTestFlow","com.klix.payments.frontend.payments.LeasePaymentTestFlow","paymentDetailsForThreeMonthTest","paymentDetailsForThreeMonthTest","Calculation details verification for 3 months"
"passed","Sat Feb 11 08:18:31 GMT 2023","Sat Feb 11 08:18:38 GMT 2023","6486","E2E tests suite for klix online loans platform","Payment flow","com.klix.payments.frontend.payments.LeasePaymentTestFlow","com.klix.payments.frontend.payments.LeasePaymentTestFlow","paymentDetailsForOneMonthTest","paymentDetailsForOneMonthTest","Calculation details verification for 1 mont"
